NACE_Macro-sector,Activity ,TRBC_6
Agriculture and Forestry,Afforestation,513010
Agriculture and Forestry,Conservation forest,513010
Agriculture and Forestry,Existing forest management,513010
Agriculture and Forestry,Growing of non-perennial crops,532020
Agriculture and Forestry,Growing of non-perennial crops,541020
Agriculture and Forestry,Growing of perennial crops,531010
Agriculture and Forestry,Growing of perennial crops,541020
Agriculture and Forestry,Livestock production,541020
Agriculture and Forestry,Reforestation,513010
Agriculture and Forestry,"Rehabilitation, Reforestation ",513010
Buildings,Acquisition and ownership of buildings,554020
Buildings,Acquisition and ownership of buildings,554030
Buildings,Building renovation,522010
Buildings,Building renovation,532030
Buildings,Construction of new buildings,522010
Buildings,Construction of new buildings,532030
Buildings,"Individual renovation measures, installation of renewables on-site and professional, scientific and technical activities",522010
Buildings,"Individual renovation measures, installation of renewables on-site and professional, scientific and technical activities",532030
"Electricity, gas, steam and air conditioning supply","Cogeneration of Heat/Cool and Power from Bioenergy (Biomass, Biogas, Biofuels)",591010
"Electricity, gas, steam and air conditioning supply","Cogeneration of Heat/Cool and Power from Bioenergy (Biomass, Biogas, Biofuels)",591040
"Electricity, gas, steam and air conditioning supply",Cogeneration of Heat/cool and Power from Concentrated Solar Power ,591010
"Electricity, gas, steam and air conditioning supply",Cogeneration of Heat/cool and Power from Concentrated Solar Power ,591030
"Electricity, gas, steam and air conditioning supply",Cogeneration of Heat/Cool and Power from Gas (not exclusive to natural gas),502010
"Electricity, gas, steam and air conditioning supply",Cogeneration of Heat/Cool and Power from Geothermal Energy,591010
"Electricity, gas, steam and air conditioning supply",Cogeneration of Heat/Cool and Power from Geothermal Energy,591030
"Electricity, gas, steam and air conditioning supply",District Heating/Cooling Distribution,591030
"Electricity, gas, steam and air conditioning supply",District Heating/Cooling Distribution,591040
"Electricity, gas, steam and air conditioning supply",Installation and operation of Electric Heat Pumps,522010
"Electricity, gas, steam and air conditioning supply",Manufacture of Biogas or Biofuels,502010
"Electricity, gas, steam and air conditioning supply","Production of Electricity from Bioenergy (Biomass, Biogas and Biofuels)",591010
"Electricity, gas, steam and air conditioning supply","Production of Electricity from Bioenergy (Biomass, Biogas and Biofuels)",591040
"Electricity, gas, steam and air conditioning supply",Production of Electricity from Concentrated Solar Power,591010
"Electricity, gas, steam and air conditioning supply",Production of Electricity from Concentrated Solar Power,591030
"Electricity, gas, steam and air conditioning supply",Production of Electricity from Gas (not exclusive to natural gas) ,502010
"Electricity, gas, steam and air conditioning supply",Production of Electricity from Geothermal,591010
"Electricity, gas, steam and air conditioning supply",Production of Electricity from Geothermal,591030
"Electricity, gas, steam and air conditioning supply",Production of Electricity from Hydropower,
"Electricity, gas, steam and air conditioning supply",Production of Electricity from Ocean Energy,
"Electricity, gas, steam and air conditioning supply",Production of Electricity from Solar PV,591010
"Electricity, gas, steam and air conditioning supply",Production of Electricity from Solar PV,591030
"Electricity, gas, steam and air conditioning supply",Production of Electricity from Wind Power,
"Electricity, gas, steam and air conditioning supply","Production of Heat/cool from Bioenergy (Biomass, Biogas, Biofuels)",591010
"Electricity, gas, steam and air conditioning supply","Production of Heat/cool from Bioenergy (Biomass, Biogas, Biofuels)",591040
"Electricity, gas, steam and air conditioning supply",Production of Heat/cool from Concentrated Solar Power ,591010
"Electricity, gas, steam and air conditioning supply",Production of Heat/cool from Concentrated Solar Power ,591030
"Electricity, gas, steam and air conditioning supply",Production of Heat/Cool from Gas (not exclusive to natural gas),502010
"Electricity, gas, steam and air conditioning supply",Production of Heat/cool from Geothermal ,591010
"Electricity, gas, steam and air conditioning supply",Production of Heat/cool from Geothermal ,591030
"Electricity, gas, steam and air conditioning supply",Production of Heat/cool using Waste Heat,591030
"Electricity, gas, steam and air conditioning supply",Retrofit of Gas Transmission and Distribution Networks,501030
"Electricity, gas, steam and air conditioning supply",Retrofit of Gas Transmission and Distribution Networks,591020
"Electricity, gas, steam and air conditioning supply",Retrofit of Gas Transmission and Distribution Networks,591040
"Electricity, gas, steam and air conditioning supply",Storage of Electricity,591010
"Electricity, gas, steam and air conditioning supply",Storage of Electricity,591040
"Electricity, gas, steam and air conditioning supply",Storage of Hydrogen,591010
"Electricity, gas, steam and air conditioning supply",Storage of Hydrogen,591040
"Electricity, gas, steam and air conditioning supply",Storage of Thermal Energy,591010
"Electricity, gas, steam and air conditioning supply",Storage of Thermal Energy,591040
"Electricity, gas, steam and air conditioning supply",Transmission and Distribution of Electricity,591010
"Electricity, gas, steam and air conditioning supply",Transmission and Distribution of Electricity,591040
Financial and Insurance Activities,Non-life insurance,
ICT,"Data processing, hosting and related activities",522030
ICT,"Data processing, hosting and related activities",572010
ICT,Data-driven climate change monitoring solutions,522030
ICT,Data-driven climate change monitoring solutions,551020
ICT,Data-driven climate change monitoring solutions,572010
ICT,Data-driven climate change monitoring solutions,581010
Manufacturing,Manufacture of Aluminium,512010
Manufacturing,Manufacture of Aluminium,513020
Manufacturing,Manufacture of Cement,512020
Manufacturing,Manufacture of fertilizers and nitrogen compounds ,511010
Manufacturing,Manufacture of Hydrogen,511010
Manufacturing,Manufacture of Iron and Steel,512010
Manufacturing,Manufacture of Iron and Steel,513020
Manufacturing,Manufacture of low carbon technologies,502010
Manufacturing,Manufacture of low carbon technologies,521020
Manufacturing,Manufacture of low carbon technologies,531010
Manufacturing,Manufacture of other inorganic basic chemicals - Manufacture of carbon black,511010
Manufacturing,Manufacture of other inorganic basic chemicals - Manufacture of chlorine ,511010
Manufacturing,Manufacture of other inorganic basic chemicals - Manufacture of disodium carbonate (soda ash)  ,511010
Manufacturing,Manufacture of other organic basic chemicals,511010
Manufacturing,Manufacture of plastics in primary form,511010
"Professional, Scientific and Technical Activities",Engineering activities and related technical consultancy dedicated to adaptation to climate change ,522030
Transportation and storage,Freight Rail Transport,524050
Transportation and storage,Freight transport services by road,524050
Transportation and storage,Infrastructure for low carbon transport (land transport),522010
Transportation and storage,Infrastructure for low carbon transport (water transport),522010
Transportation and storage,Inland freight water transport,524050
Transportation and storage,Inland passenger water transport,524060
Transportation and storage,Interurban scheduled road transport,524060
Transportation and storage,Passenger cars and commercial vehicles,524050
Transportation and storage,Passenger Rail Transport (Interurban),524060
Transportation and storage,Public transport,524060
"Water, sewerage, waste and remediation",Anaerobic digestion of bio-waste,522030
"Water, sewerage, waste and remediation",Anaerobic Digestion of Sewage sludge,522030
"Water, sewerage, waste and remediation",Anaerobic Digestion of Sewage sludge,591030
"Water, sewerage, waste and remediation",Capture of anthropogenic emissions,522030
"Water, sewerage, waste and remediation",Centralized wastewater treatment,591030
"Water, sewerage, waste and remediation",Centralized wastewater treatment,591040
"Water, sewerage, waste and remediation",Composting of bio-waste,522030
"Water, sewerage, waste and remediation",Direct Air Capture of CO2,522030
"Water, sewerage, waste and remediation",Landfill gas capture and utilization,522030
"Water, sewerage, waste and remediation",Material recovery from non-hazardous waste,522030
"Water, sewerage, waste and remediation",Permanent Sequestration of captured CO2,522030
"Water, sewerage, waste and remediation",Separate collection and transport of non-hazardous waste in source segregated fractions,522030
"Water, sewerage, waste and remediation",Transport of CO2,522030
"Water, sewerage, waste and remediation",Transport of CO2,524050
"Water, sewerage, waste and remediation","Water collection, treatment and supply",591030
"Water, sewerage, waste and remediation","Water collection, treatment and supply",591040
